Top: http://purl.obolibrary.org/obo/PATO_0000001  "PATO quality"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002032  "forward scatter"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002167  "herniated out of"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002031  "upturned"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002030  "specificity to"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002166  "premature closure"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002165  "drooping"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001694  "decreased viscosity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001695  "increased fecundity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001693  "increased viscosity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001690  "contractile"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001691  "non-contractile"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001697  "decreased photosensitivity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001696  "decreased fecundity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001699  "regular sleep pattern"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001698  "increased photosensitivity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002129  "neoplastic, invasive"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002016  "magnitude"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002017  "increased magnitude"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002018  "decreased magnitude"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002125  "nodular"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002019  "aplastic growth"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002126  "osseous"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002127  "schirrous"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002128  "serous"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002133  "adduction"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002132  "neoplastic, non-invasive"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002135  "delayed closure"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002021  "conical"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002020  "pale pink"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002134  "fibrillary"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002023  "apical-basal polarity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002022  "villiform"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002025  "external angle"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002131  "abduction"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002024  "anterior-posterior polarity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002130  "neoplastic, deeply invasive"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001409  "spindle-shaped"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001408  "ciliatedness"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001407  "mononucleate"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001402  "multipotent"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002006  "2-D shape"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001401  "oligopotent"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002007  "convex 3-D shape"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001400  "unipotent"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002005  "concavity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002138  "edibility"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001406  "binucleate"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002139  "edible"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001405  "anucleate"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002136  "radiopacity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001404  "nucleate quality"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002008  "concave 3-D shape"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002137  "radiopaque"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0001403  "pluripotent"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002009  "branchiness"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002146  "virulence"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002010  "looseness"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002145  "decreased radiopacity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002144  "increased radiopacity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002143  "sloped downward"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002142  "bracket"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002014  "structure, cavities"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002141  "irregular density"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002013  "fasciculation"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002140  "inedible"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002012  "coating"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002011  "neoplastic"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002080  "broken into two pieces"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002081  "shattered"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002082  "partially broken"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002083  "altered number of"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002190  "aromaticity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002191  "aromatic"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002192  "non-aromatic"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002193  "electric charge"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002088  "monocystic"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002194  "neutral charge"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002089  "polycystic"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002195  "positive charge"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002196  "negative charge"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002197  "electronegativity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002198  "quality of a substance"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002199  "meltability"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002087  "bullet-shaped"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002071  "increased affinity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002072  "decreased affinity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002070  "affinity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002077  "stacked"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002078  "hollow"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002075  "decreased avidity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002076  "movement behavioral quality"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002073  "avidity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002074  "increased avidity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002375  "trumpet-shaped"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002059  "emmision wavelength"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002374  "fluctuating"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002377  "uninflated"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002376  "inflated"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002371  "primiparous"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002370  "parity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002169  "split medially"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002373  "mediolateral polarity"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002372  "grand multi[arous"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002170  "split laterally"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002171  "split bilaterally"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002060  "absorption wavelength"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002062  "physical quality of a process"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002176  "deviation towards the lateral side"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002177  "deviation towards the medial side"^^xsd:string
Sub: http://purl.obolibrary.org/obo/PATO_0002063  "columnar"^^xsd:string
